threshold,tp,tn,fp,fn,precision,recall,f1,cost
0.01,193,0,1079,0,0.15172955974842767,1.0,0.26348122866894197,1079.0
0.02,193,0,1079,0,0.15172955974842767,1.0,0.26348122866894197,1079.0
0.03,193,0,1079,0,0.15172955974842767,1.0,0.26348122866894197,1079.0
0.04,193,0,1079,0,0.15172955974842767,1.0,0.26348122866894197,1079.0
0.05,193,0,1079,0,0.15172955974842767,1.0,0.26348122866894197,1079.0
0.060000000000000005,193,0,1079,0,0.15172955974842767,1.0,0.26348122866894197,1079.0
0.06999999999999999,193,0,1079,0,0.15172955974842767,1.0,0.26348122866894197,1079.0
0.08,193,0,1079,0,0.15172955974842767,1.0,0.26348122866894197,1079.0
0.09,193,0,1079,0,0.15172955974842767,1.0,0.26348122866894197,1079.0
0.09999999999999999,193,0,1079,0,0.15172955974842767,1.0,0.26348122866894197,1079.0
0.11,193,0,1079,0,0.15172955974842767,1.0,0.26348122866894197,1079.0
0.12,193,0,1079,0,0.15172955974842767,1.0,0.26348122866894197,1079.0
0.13,193,0,1079,0,0.15172955974842767,1.0,0.26348122866894197,1079.0
0.14,193,0,1079,0,0.15172955974842767,1.0,0.26348122866894197,1079.0
0.15000000000000002,193,0,1079,0,0.15172955974842767,1.0,0.26348122866894197,1079.0
0.16,193,4,1075,0,0.15220820189274448,1.0,0.26420260095824777,1075.0
0.17,193,8,1071,0,0.15268987341772153,1.0,0.26492793411118737,1071.0
0.18000000000000002,192,19,1060,1,0.15335463258785942,0.9948186528497409,0.2657439446366782,1070.0
0.19,192,33,1046,1,0.15508885298869143,0.9948186528497409,0.26834381551362685,1056.0
0.2,190,65,1014,3,0.15780730897009967,0.9844559585492227,0.2720114531138153,1044.0
0.21000000000000002,190,88,991,3,0.16088060965283657,0.9844559585492227,0.2765647743813683,1021.0
0.22,189,113,966,4,0.16363636363636364,0.9792746113989638,0.28041543026706234,1006.0
0.23,188,142,937,5,0.1671111111111111,0.9740932642487047,0.2852807283763278,987.0
0.24000000000000002,185,177,902,8,0.1701931922723091,0.9585492227979274,0.2890625,982.0
0.25,185,216,863,8,0.1765267175572519,0.9585492227979274,0.29814665592264306,943.0
0.26,183,245,834,10,0.17994100294985252,0.9481865284974094,0.30247933884297523,934.0
0.27,179,272,807,14,0.1815415821501014,0.927461139896373,0.30364715860899066,947.0
0.28,173,306,773,20,0.1828752642706131,0.8963730569948186,0.3037752414398595,973.0
0.29000000000000004,172,329,750,21,0.18655097613882862,0.8911917098445595,0.30852017937219733,960.0
0.3,172,350,729,21,0.19089900110987792,0.8911917098445595,0.31444241316270566,939.0
0.31,169,376,703,24,0.1938073394495413,0.8756476683937824,0.3173708920187793,943.0
0.32,169,404,675,24,0.20023696682464456,0.8756476683937824,0.32594021215043395,915.0
0.33,166,428,651,27,0.20318237454100369,0.8601036269430051,0.3287128712871287,921.0
0.34,160,447,632,33,0.20202020202020202,0.8290155440414507,0.3248730964467005,962.0
0.35000000000000003,159,463,616,34,0.20516129032258065,0.8238341968911918,0.3285123966942149,956.0
0.36000000000000004,159,477,602,34,0.20893561103810776,0.8238341968911918,0.3333333333333333,942.0
0.37,156,498,581,37,0.21166892808683854,0.8082901554404145,0.33548387096774196,951.0
0.38,153,523,556,40,0.2157968970380818,0.7927461139896373,0.3392461197339246,956.0
0.39,149,545,534,44,0.21815519765739386,0.772020725388601,0.3401826484018265,974.0
0.4,144,568,511,49,0.2198473282442748,0.7461139896373057,0.33962264150943394,1001.0
0.41000000000000003,143,589,490,50,0.2259083728278041,0.7409326424870466,0.34624697336561744,990.0
0.42000000000000004,142,607,472,51,0.23127035830618892,0.7357512953367875,0.35192069392812886,982.0
0.43,136,632,447,57,0.2332761578044597,0.7046632124352331,0.35051546391752575,1017.0
0.44,131,658,421,62,0.23731884057971014,0.6787564766839378,0.3516778523489933,1041.0
0.45,130,674,405,63,0.24299065420560748,0.6735751295336787,0.35714285714285715,1035.0
0.46,125,695,384,68,0.2455795677799607,0.6476683937823834,0.3561253561253561,1064.0
0.47000000000000003,123,712,367,70,0.2510204081632653,0.6373056994818653,0.3601756954612006,1067.0
0.48000000000000004,120,726,353,73,0.2536997885835095,0.6217616580310881,0.36036036036036034,1083.0
0.49,117,738,341,76,0.2554585152838428,0.6062176165803109,0.35944700460829493,1101.0
0.5,115,754,325,78,0.26136363636363635,0.5958549222797928,0.36334913112164297,1105.0
0.51,109,771,308,84,0.26139088729016785,0.5647668393782384,0.35737704918032787,1148.0
0.52,106,793,286,87,0.27040816326530615,0.5492227979274611,0.3623931623931624,1156.0
0.53,97,809,270,96,0.26430517711171664,0.5025906735751295,0.3464285714285714,1230.0
0.54,93,833,246,100,0.2743362831858407,0.48186528497409326,0.34962406015037595,1246.0
0.55,91,855,224,102,0.28888888888888886,0.47150259067357514,0.35826771653543305,1244.0
0.56,89,872,207,104,0.30067567567567566,0.46113989637305697,0.36400817995910023,1247.0
0.5700000000000001,85,886,193,108,0.3057553956834532,0.44041450777202074,0.3609341825902335,1273.0
0.5800000000000001,83,902,177,110,0.3192307692307692,0.43005181347150256,0.36644591611479027,1277.0
0.59,77,914,165,116,0.3181818181818182,0.39896373056994816,0.35402298850574715,1325.0
0.6,68,926,153,125,0.3076923076923077,0.35233160621761656,0.3285024154589372,1403.0
0.61,63,943,136,130,0.3165829145728643,0.32642487046632124,0.32142857142857145,1436.0
0.62,57,966,113,136,0.3352941176470588,0.29533678756476683,0.3140495867768595,1473.0
0.63,53,977,102,140,0.3419354838709677,0.27461139896373055,0.3045977011494253,1502.0
0.64,45,998,81,148,0.35714285714285715,0.23316062176165803,0.28213166144200624,1561.0
0.65,41,1017,62,152,0.39805825242718446,0.21243523316062177,0.27702702702702703,1582.0
0.66,37,1037,42,156,0.46835443037974683,0.19170984455958548,0.27205882352941174,1602.0
0.67,31,1048,31,162,0.5,0.16062176165803108,0.24313725490196078,1651.0
0.68,25,1059,20,168,0.5555555555555556,0.12953367875647667,0.21008403361344538,1700.0
0.6900000000000001,21,1063,16,172,0.5675675675675675,0.10880829015544041,0.1826086956521739,1736.0
0.7000000000000001,17,1064,15,176,0.53125,0.08808290155440414,0.1511111111111111,1775.0
0.7100000000000001,15,1069,10,178,0.6,0.07772020725388601,0.13761467889908258,1790.0
0.72,12,1071,8,181,0.6,0.06217616580310881,0.11267605633802817,1818.0
0.73,10,1074,5,183,0.6666666666666666,0.05181347150259067,0.09615384615384616,1835.0
0.74,10,1076,3,183,0.7692307692307693,0.05181347150259067,0.0970873786407767,1833.0
0.75,8,1079,0,185,1.0,0.04145077720207254,0.07960199004975124,1850.0
0.76,4,1079,0,189,1.0,0.02072538860103627,0.04060913705583756,1890.0
0.77,1,1079,0,192,1.0,0.0051813471502590676,0.010309278350515464,1920.0
0.78,0,1079,0,193,0.0,0.0,0.0,1930.0
0.79,0,1079,0,193,0.0,0.0,0.0,1930.0
0.8,0,1079,0,193,0.0,0.0,0.0,1930.0
0.81,0,1079,0,193,0.0,0.0,0.0,1930.0
0.8200000000000001,0,1079,0,193,0.0,0.0,0.0,1930.0
0.8300000000000001,0,1079,0,193,0.0,0.0,0.0,1930.0
0.8400000000000001,0,1079,0,193,0.0,0.0,0.0,1930.0
0.85,0,1079,0,193,0.0,0.0,0.0,1930.0
0.86,0,1079,0,193,0.0,0.0,0.0,1930.0
0.87,0,1079,0,193,0.0,0.0,0.0,1930.0
0.88,0,1079,0,193,0.0,0.0,0.0,1930.0
0.89,0,1079,0,193,0.0,0.0,0.0,1930.0
0.9,0,1079,0,193,0.0,0.0,0.0,1930.0
0.91,0,1079,0,193,0.0,0.0,0.0,1930.0
0.92,0,1079,0,193,0.0,0.0,0.0,1930.0
0.93,0,1079,0,193,0.0,0.0,0.0,1930.0
0.9400000000000001,0,1079,0,193,0.0,0.0,0.0,1930.0
0.9500000000000001,0,1079,0,193,0.0,0.0,0.0,1930.0
0.9600000000000001,0,1079,0,193,0.0,0.0,0.0,1930.0
0.97,0,1079,0,193,0.0,0.0,0.0,1930.0
0.98,0,1079,0,193,0.0,0.0,0.0,1930.0
0.99,0,1079,0,193,0.0,0.0,0.0,1930.0
